"","...1","id","especie","ultima_modificacion","altura","circ_tronco_cm","diametro_tronco","long","lat","seccion","nombre_seccion","area_seccion","inclinacion_peligrosa","circ_tronco_cm_cat"
"1",1,11621,"Morera","27/01/2011 14:07","Alto (> 8 mts)",80,"Grande",-68.8496835225,-32.8664203493,6,"Residencial Norte",2694682.37982,0,"bajo"
"2",2,954,"Prunas","10/01/2012 18:04","Muy bajo (1 - 2 mts)",4,"Chico",-68.848005005,-32.8727434984,6,"Residencial Norte",2694682.37982,0,"bajo"
"3",3,40726,"Morera","18/04/2011 09:15","Alto (> 8 mts)",100,"Grande",-68.8431868807,-32.8851285098,1,"Parque Central",1655357.93265,1,"bajo"
"4",4,20254,"Fresno europeo","17/05/2011 10:31","Medio (4 - 8 mts)",78,"Grande",-68.860189424,-32.8926116162,5,"Residencial Sur",2423808.92355,0,"bajo"
"5",5,21539,"Morera","08/06/2011 11:35","Alto (> 8 mts)",105,"Grande",-68.8537953154,-32.8949787562,5,"Residencial Sur",2423808.92355,1,"medio"
"6",6,47323,"Morera","21/09/2011 11:38","Alto (> 8 mts)",192,"Grande",-68.8307240284,-32.8745733678,4,"Cuarta Este <U+0041>rea Fundacional",1822015.85685,0,"medio"
"7",7,44251,"Morera","13/10/2011 11:16","Alto (> 8 mts)",240,"Grande",-68.8340670349,-32.8843430005,3,"Parque O'Higgins",1531146.02653,0,"alto"
"8",8,36716,"Morera","14/06/2011 10:31","Medio (4 - 8 mts)",110,"Grande",-68.8601557611,-32.8816556575,7,"Residencial Parque",1786336.08966,0,"medio"
"9",9,6957,"Fresno europeo","06/06/2011 10:52","Alto (> 8 mts)",128,"Grande",-68.8593628339,-32.8963469747,5,"Residencial Sur",2423808.92355,0,"medio"
"10",10,4720,"Acer","27/07/2011 09:57","Muy bajo (1 - 2 mts)",20,"Chico",-68.8408584948,-32.8654164871,4,"Cuarta Oeste",1173332.70145,0,"bajo"
"11",11,20220,"Morera","26/05/2011 12:48","Medio (4 - 8 mts)",110,"Grande",-68.8604712812,-32.8938909802,5,"Residencial Sur",2423808.92355,1,"medio"
"12",12,14091,"Acer","02/12/2011 09:26","Medio (4 - 8 mts)",78,"Grande",-68.8765449038,-32.8688609477,8,"Aeroparque",2203364.73622,0,"bajo"
"13",13,21470,"Pltano","12/05/2011 09:26","Alto (> 8 mts)",175,"Grande",-68.8584853993,-32.8917337964,5,"Residencial Sur",2423808.92355,0,"medio"
"14",14,22759,"Morera","01/06/2011 10:21","Alto (> 8 mts)",146,"Grande",-68.8539847281,-32.9020057035,2,"Barrio Civico",2366816.36021,0,"medio"
"15",15,1606,"Paraiso","24/11/2011 10:18","Medio (4 - 8 mts)",66,"Grande",-68.8716554456,-32.8793064499,7,"Residencial Parque",1786336.08966,0,"bajo"
"16",16,16255,"Fresno americano","19/07/2011 21:44","Muy bajo (1 - 2 mts)",0.8,"Chico",-68.8432335786,-32.8648520923,4,"Cuarta Oeste",1173332.70145,0,"bajo"
"17",17,8056,"Fresno europeo","09/03/2011 09:37","Bajo (2 - 4 mts)",21,"Mediano",-68.8423323162,-32.8890139332,3,"Parque O'Higgins",1531146.02653,0,"bajo"
"18",18,35340,"Morera","22/06/2011 15:34","Medio (4 - 8 mts)",80,"Grande",-68.8544015213,-32.8836206678,5,"Residencial Sur",2423808.92355,1,"bajo"
"19",19,6366,"Acacia visco","24/06/2011 12:27","Alto (> 8 mts)",120,"Grande",-68.8514818205,-32.8909569053,5,"Residencial Sur",2423808.92355,0,"medio"
"20",20,32340,"Paraiso","06/05/2011 10:37","Alto (> 8 mts)",140,"Grande",-68.8527723419,-32.8926319832,5,"Residencial Sur",2423808.92355,0,"medio"
"21",21,41130,"Pltano","27/04/2011 10:03","Alto (> 8 mts)",162,"Grande",-68.8399340297,-32.8836136838,1,"Parque Central",1655357.93265,0,"medio"
"22",22,26990,"Fresno europeo","02/11/2011 17:09","Alto (> 8 mts)",180,"Grande",-68.8348816839,-32.8875154096,3,"Parque O'Higgins",1531146.02653,0,"medio"
